warehouse_name,date,storage,next_day_storage
SC1,2023-08-01,39517,40008.0
SC1,2023-08-02,40008,38477.0
SC1,2023-08-03,38477,35773.0
SC1,2023-08-04,35773,31876.0
SC1,2023-08-05,31876,31319.0
SC1,2023-08-06,31319,29584.0
SC1,2023-08-07,29584,33034.0
SC1,2023-08-08,33034,34242.0
SC1,2023-08-09,34242,34123.0
SC1,2023-08-10,34123,33589.0
SC1,2023-08-11,33589,33793.0
SC1,2023-08-12,33793,31308.0
SC1,2023-08-13,31308,31785.0
SC1,2023-08-14,31785,34678.0
SC1,2023-08-15,34678,35694.0
SC1,2023-08-16,35694,36006.0
SC1,2023-08-17,36006,36039.0
SC1,2023-08-18,36039,37610.0
SC1,2023-08-19,37610,34386.0
SC1,2023-08-20,34386,35922.0
SC1,2023-08-21,35922,36408.0
SC1,2023-08-22,36408,36657.0
SC1,2023-08-23,36657,37910.0
SC1,2023-08-24,37910,39080.0
SC1,2023-08-25,39080,37218.0
SC1,2023-08-26,37218,36814.0
SC1,2023-08-27,36814,36179.0
SC1,2023-08-28,36179,38688.0
SC1,2023-08-29,38688,40087.0
SC1,2023-08-30,40087,40664.0
SC1,2023-08-31,40664,44955.0
SC1,2023-09-01,44955,45716.0
SC1,2023-09-02,45716,40073.0
SC1,2023-09-03,40073,38701.0
SC1,2023-09-04,38701,39932.0
SC1,2023-09-05,39932,43154.0
SC1,2023-09-06,43154,46353.0
SC1,2023-09-07,46353,42481.0
SC1,2023-09-08,42481,41695.0
SC1,2023-09-09,41695,39697.0
SC1,2023-09-10,39697,38400.0
SC1,2023-09-11,38400,39122.0
SC1,2023-09-12,39122,43296.0
SC1,2023-09-13,43296,43579.0
SC1,2023-09-14,43579,42150.0
SC1,2023-09-15,42150,43131.0
SC1,2023-09-16,43131,40851.0
SC1,2023-09-17,40851,41287.0
SC1,2023-09-18,41287,43304.0
SC1,2023-09-19,43304,45579.0
SC1,2023-09-20,45579,47715.0
SC1,2023-09-21,47715,47240.0
SC1,2023-09-22,47240,47051.0
SC1,2023-09-23,47051,48767.0
SC1,2023-09-24,48767,45919.0
SC1,2023-09-25,45919,49085.0
SC1,2023-09-26,49085,47858.0
SC1,2023-09-27,47858,42365.0
SC1,2023-09-28,42365,35506.0
SC1,2023-09-29,35506,31313.0
SC1,2023-09-30,31313,30105.0
SC1,2023-10-01,30105,26567.0
SC1,2023-10-02,26567,27154.0
SC1,2023-10-03,27154,27801.0
SC1,2023-10-04,27801,32019.0
SC1,2023-10-05,32019,32791.0
SC1,2023-10-06,32791,37052.0
SC1,2023-10-07,37052,41362.0
SC1,2023-10-08,41362,38656.0
SC1,2023-10-09,38656,38319.0
SC1,2023-10-10,38319,39627.0
SC1,2023-10-11,39627,41885.0
SC1,2023-10-12,41885,41697.0
SC1,2023-10-13,41697,39689.0
SC1,2023-10-14,39689,38619.0
SC1,2023-10-15,38619,36954.0
SC1,2023-10-16,36954,40750.0
SC1,2023-10-17,40750,43666.0
SC1,2023-10-18,43666,42066.0
SC1,2023-10-19,42066,49307.0
SC1,2023-10-20,49307,43694.0
SC1,2023-10-21,43694,39941.0
SC1,2023-10-22,39941,42015.0
SC1,2023-10-23,42015,69918.0
SC1,2023-10-24,69918,61167.0
SC1,2023-10-25,61167,55018.0
SC1,2023-10-26,55018,55915.0
SC1,2023-10-27,55915,53443.0
SC1,2023-10-28,53443,48554.0
SC1,2023-10-29,48554,44495.0
SC1,2023-10-30,44495,49178.0
SC1,2023-10-31,49178,102030.0
SC1,2023-11-01,102030,87732.0
SC1,2023-11-02,87732,69025.0
SC1,2023-11-03,69025,61433.0
SC1,2023-11-04,61433,56707.0
SC1,2023-11-05,56707,57491.0
SC1,2023-11-06,57491,57672.0
SC1,2023-11-07,57672,62365.0
SC1,2023-11-08,62365,58697.0
SC1,2023-11-09,58697,57044.0
SC1,2023-11-10,57044,107715.0
SC1,2023-11-11,107715,99577.0
SC1,2023-11-12,99577,73365.0
SC1,2023-11-13,73365,58689.0
SC1,2023-11-14,58689,53282.0
SC1,2023-11-15,53282,51085.0
SC1,2023-11-16,51085,50218.0
SC1,2023-11-17,50218,46956.0
SC1,2023-11-18,46956,43396.0
SC1,2023-11-19,43396,42414.0
SC1,2023-11-20,42414,45994.0
SC1,2023-11-21,45994,45352.0
SC1,2023-11-22,45352,45169.0
SC1,2023-11-23,45169,44719.0
SC1,2023-11-24,44719,44496.0
SC1,2023-11-25,44496,42879.0
SC1,2023-11-26,42879,41085.0
SC1,2023-11-27,41085,44200.0
SC1,2023-11-28,44200,45217.0
SC1,2023-11-29,45217,45707.0
SC1,2023-11-30,45707,
SC10,2023-08-01,19533,20483.0
SC10,2023-08-02,20483,20768.0
SC10,2023-08-03,20768,20166.0
SC10,2023-08-04,20166,21161.0
SC10,2023-08-05,21161,19716.0
SC10,2023-08-06,19716,19273.0
SC10,2023-08-07,19273,19756.0
SC10,2023-08-08,19756,21234.0
SC10,2023-08-09,21234,20821.0
SC10,2023-08-10,20821,20911.0
SC10,2023-08-11,20911,20578.0
SC10,2023-08-12,20578,19260.0
SC10,2023-08-13,19260,19200.0
SC10,2023-08-14,19200,20453.0
SC10,2023-08-15,20453,22603.0
SC10,2023-08-16,22603,21988.0
SC10,2023-08-17,21988,23710.0
SC10,2023-08-18,23710,24223.0
SC10,2023-08-19,24223,21915.0
SC10,2023-08-20,21915,21599.0
SC10,2023-08-21,21599,22825.0
SC10,2023-08-22,22825,22108.0
SC10,2023-08-23,22108,22048.0
SC10,2023-08-24,22048,23200.0
SC10,2023-08-25,23200,22670.0
SC10,2023-08-26,22670,23390.0
SC10,2023-08-27,23390,22531.0
SC10,2023-08-28,22531,24233.0
SC10,2023-08-29,24233,24273.0
SC10,2023-08-30,24273,25541.0
SC10,2023-08-31,25541,25605.0
SC10,2023-09-01,25605,26602.0
SC10,2023-09-02,26602,24753.0
SC10,2023-09-03,24753,23238.0
SC10,2023-09-04,23238,25825.0
SC10,2023-09-05,25825,26200.0
SC10,2023-09-06,26200,25857.0
SC10,2023-09-07,25857,25254.0
SC10,2023-09-08,25254,25070.0
SC10,2023-09-09,25070,23297.0
SC10,2023-09-10,23297,22073.0
SC10,2023-09-11,22073,24180.0
SC10,2023-09-12,24180,25809.0
SC10,2023-09-13,25809,25149.0
SC10,2023-09-14,25149,25750.0
SC10,2023-09-15,25750,25489.0
SC10,2023-09-16,25489,24913.0
SC10,2023-09-17,24913,24496.0
SC10,2023-09-18,24496,25383.0
SC10,2023-09-19,25383,28749.0
SC10,2023-09-20,28749,29149.0
SC10,2023-09-21,29149,28720.0
SC10,2023-09-22,28720,32594.0
SC10,2023-09-23,32594,31112.0
SC10,2023-09-24,31112,29238.0
SC10,2023-09-25,29238,31735.0
SC10,2023-09-26,31735,33244.0
SC10,2023-09-27,33244,29798.0
SC10,2023-09-28,29798,28590.0
SC10,2023-09-29,28590,23604.0
SC10,2023-09-30,23604,19562.0
SC10,2023-10-01,19562,20713.0
SC10,2023-10-02,20713,22581.0
SC10,2023-10-03,22581,22961.0
SC10,2023-10-04,22961,25194.0
SC10,2023-10-05,25194,26844.0
SC10,2023-10-06,26844,31103.0
SC10,2023-10-07,31103,29053.0
SC10,2023-10-08,29053,29406.0
SC10,2023-10-09,29406,29141.0
SC10,2023-10-10,29141,29914.0
SC10,2023-10-11,29914,28094.0
SC10,2023-10-12,28094,30385.0
SC10,2023-10-13,30385,31416.0
SC10,2023-10-14,31416,29662.0
SC10,2023-10-15,29662,31044.0
SC10,2023-10-16,31044,32167.0
SC10,2023-10-17,32167,34503.0
SC10,2023-10-18,34503,34279.0
SC10,2023-10-19,34279,34464.0
SC10,2023-10-20,34464,33897.0
SC10,2023-10-21,33897,33256.0
SC10,2023-10-22,33256,34390.0
SC10,2023-10-23,34390,38214.0
SC10,2023-10-24,38214,42661.0
SC10,2023-10-25,42661,39431.0
SC10,2023-10-26,39431,38084.0
SC10,2023-10-27,38084,39733.0
SC10,2023-10-28,39733,35983.0
SC10,2023-10-29,35983,35811.0
SC10,2023-10-30,35811,39608.0
SC10,2023-10-31,39608,56065.0
SC10,2023-11-01,56065,56182.0
SC10,2023-11-02,56182,52988.0
SC10,2023-11-03,52988,45587.0
SC10,2023-11-04,45587,37583.0
SC10,2023-11-05,37583,36970.0
SC10,2023-11-06,36970,41142.0
SC10,2023-11-07,41142,38895.0
SC10,2023-11-08,38895,39553.0
SC10,2023-11-09,39553,42631.0
SC10,2023-11-10,42631,62147.0
SC10,2023-11-11,62147,65150.0
SC10,2023-11-12,65150,57625.0
SC10,2023-11-13,57625,54883.0
SC10,2023-11-14,54883,44352.0
SC10,2023-11-15,44352,44099.0
SC10,2023-11-16,44099,45782.0
SC10,2023-11-17,45782,42261.0
SC10,2023-11-18,42261,39593.0
SC10,2023-11-19,39593,42166.0
SC10,2023-11-20,42166,43146.0
SC10,2023-11-21,43146,42839.0
SC10,2023-11-22,42839,43155.0
SC10,2023-11-23,43155,41172.0
SC10,2023-11-24,41172,38895.0
SC10,2023-11-25,38895,39039.0
SC10,2023-11-26,39039,37856.0
SC10,2023-11-27,37856,38005.0
SC10,2023-11-28,38005,40407.0
SC10,2023-11-29,40407,39418.0
SC10,2023-11-30,39418,
SC12,2023-08-01,3408,3663.0
SC12,2023-08-02,3663,3710.0
SC12,2023-08-03,3710,3592.0
SC12,2023-08-04,3592,3379.0
SC12,2023-08-05,3379,3361.0
SC12,2023-08-06,3361,3475.0
SC12,2023-08-07,3475,3784.0
SC12,2023-08-08,3784,4204.0
SC12,2023-08-09,4204,3699.0
SC12,2023-08-10,3699,3690.0
SC12,2023-08-11,3690,3341.0
SC12,2023-08-12,3341,3175.0
SC12,2023-08-13,3175,3757.0
SC12,2023-08-14,3757,3201.0
SC12,2023-08-15,3201,4768.0
SC12,2023-08-16,4768,3886.0
SC12,2023-08-17,3886,3909.0
SC12,2023-08-18,3909,3882.0
SC12,2023-08-19,3882,3817.0
SC12,2023-08-20,3817,4148.0
SC12,2023-08-21,4148,3986.0
SC12,2023-08-22,3986,3985.0
SC12,2023-08-23,3985,4076.0
SC12,2023-08-24,4076,4487.0
SC12,2023-08-25,4487,4436.0
SC12,2023-08-26,4436,4045.0
SC12,2023-08-27,4045,4383.0
SC12,2023-08-28,4383,3954.0
SC12,2023-08-29,3954,3954.0
SC12,2023-08-30,3954,4028.0
SC12,2023-08-31,4028,4216.0
SC12,2023-09-01,4216,3981.0
SC12,2023-09-02,3981,3781.0
SC12,2023-09-03,3781,3917.0
SC12,2023-09-04,3917,4729.0
SC12,2023-09-05,4729,4495.0
SC12,2023-09-06,4495,3974.0
SC12,2023-09-07,3974,4104.0
SC12,2023-09-08,4104,3740.0
SC12,2023-09-09,3740,3726.0
SC12,2023-09-10,3726,3849.0
SC12,2023-09-11,3849,4188.0
SC12,2023-09-12,4188,3864.0
SC12,2023-09-13,3864,4067.0
SC12,2023-09-14,4067,3989.0
SC12,2023-09-15,3989,3725.0
SC12,2023-09-16,3725,3871.0
SC12,2023-09-17,3871,4039.0
SC12,2023-09-18,4039,465.0
SC12,2023-09-19,465,6310.0
SC12,2023-09-20,6310,4828.0
SC12,2023-09-21,4828,3924.0
SC12,2023-09-22,3924,3678.0
SC12,2023-09-23,3678,3753.0
SC12,2023-09-24,3753,3915.0
SC12,2023-09-25,3915,3852.0
SC12,2023-09-26,3852,3506.0
SC12,2023-09-27,3506,3338.0
SC12,2023-09-28,3338,3069.0
SC12,2023-09-29,3069,3202.0
SC12,2023-09-30,3202,3262.0
SC12,2023-10-01,3262,3075.0
SC12,2023-10-02,3075,3245.0
SC12,2023-10-03,3245,3475.0
SC12,2023-10-04,3475,3777.0
SC12,2023-10-05,3777,3993.0
SC12,2023-10-06,3993,4514.0
SC12,2023-10-07,4514,4498.0
SC12,2023-10-08,4498,4329.0
SC12,2023-10-09,4329,4134.0
SC12,2023-10-10,4134,4072.0
SC12,2023-10-11,4072,3887.0
SC12,2023-10-12,3887,4140.0
SC12,2023-10-13,4140,3942.0
SC12,2023-10-14,3942,3535.0
SC12,2023-10-15,3535,4847.0
SC12,2023-10-16,4847,4219.0
SC12,2023-10-17,4219,4125.0
SC12,2023-10-18,4125,3970.0
SC12,2023-10-19,3970,4133.0
SC12,2023-10-20,4133,3677.0
SC12,2023-10-21,3677,3362.0
SC12,2023-10-22,3362,3690.0
SC12,2023-10-23,3690,12461.0
SC12,2023-10-24,12461,7633.0
SC12,2023-10-25,7633,6929.0
SC12,2023-10-26,6929,6161.0
SC12,2023-10-27,6161,6210.0
SC12,2023-10-28,6210,6370.0
SC12,2023-10-29,6370,5921.0
SC12,2023-10-30,5921,8055.0
SC12,2023-10-31,8055,16245.0
SC12,2023-11-01,16245,16526.0
SC12,2023-11-02,16526,8863.0
SC12,2023-11-03,8863,7107.0
SC12,2023-11-04,7107,6672.0
SC12,2023-11-05,6672,6271.0
SC12,2023-11-06,6271,6834.0
SC12,2023-11-07,6834,6610.0
SC12,2023-11-08,6610,6563.0
SC12,2023-11-09,6563,8769.0
SC12,2023-11-10,8769,20634.0
